BallNose6;CenterDrill3;CenterDrill8x90;Countersink5x60;Countersink3x90;Countersink5x90;Countersink6x90;Countersink10x90;Countersink16x90;Countersink25x90;Drill1;Drill3;Drill35;Drill5;Drill65;Drill7;Drill125;Drill15;Drill20;FlatEnd4;FlatEnd5;Tap4;Tap5;Tap6;BallNose5Sum;CenterDrillx60Sum;CenterDrillx90Sum;DrillSum;FlatEndSum;FlatEndSum2;TapSum
-1.165226805;-0.215391292;-1.646285495;-0.261835673;-1.447719037;-1.384529004;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;-2.355547905;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.369185001;-1.559073988;-1.379208799;-1.526391916;-1.036352357;-1.409434612
-1.165226805;-0.215391292;-1.646285495;-0.261835673;-1.447719037;-1.384529004;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;-2.355547905;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.369185001;-1.55645422;-1.378373401;-1.523939535;-1.036352357;-1.409434612
-1.165226805;-0.215391292;-1.646285495;-0.261835673;-1.447719037;-1.379937178;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;-2.355547905;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.369185001;-1.553834453;-1.377657345;-1.523778237;-1.036352357;-1.409434612
-1.165226805;-0.215391292;-1.646285495;-0.261835673;-1.447719037;-1.379937178;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;-2.355547905;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.362344862;-1.551214686;-1.37467378;-1.523732152;-1.036352357;-1.396650915
-1.165226805;-0.215391292;-1.646285495;-0.261835673;-1.447719037;-1.372819848;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;-2.355547905;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.35791889;-1.547285034;-1.368348621;-1.522487857;-1.036352357;-1.393700832
-1.165226805;-0.215391292;-1.099472725;-0.261835673;-1.447719037;-1.332870961;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.334179585;-1.523707128;-1.354982249;-1.482008753;-1.036352357;-1.334944997
-1.165226805;-0.215391292;-1.099472725;-0.261835673;-1.447719037;-1.327819953;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.334179585;-1.521087361;-1.349253803;-1.480333234;-1.017442957;-1.334944997
-1.165226805;-0.215391292;-1.099472725;-0.261835673;-1.447719037;-1.325294449;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.334179585;-1.519777477;-1.34817972;-1.479470786;-1.017442957;-1.334944997
-1.165226805;-0.215391292;-1.099472725;-0.261835673;-1.447719037;-1.273865997;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.316475696;-1.449043758;-1.311183509;-1.470207697;-1.017442957;-1.310606805
-1.165226805;-0.215391292;-1.099472725;-0.261835673;-1.447719037;-1.273865997;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.308026113;-1.446423991;-1.299010562;-1.469210286;-1.017442957;-1.29856063
