BallNose6;CenterDrill3;CenterDrill8x90;Countersink5x60;Countersink3x90;Countersink5x90;Countersink6x90;Countersink10x90;Countersink16x90;Countersink25x90;Drill1;Drill3;Drill35;Drill5;Drill65;Drill7;Drill125;Drill15;Drill20;FlatEnd4;FlatEnd5;Tap4;Tap5;Tap6;BallNose5Sum;CenterDrillx60Sum;CenterDrillx90Sum;DrillSum;FlatEndSum;FlatEndSum2;TapSum
0;0;0;0;0;0.008624673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016030431;0.007184482;0.00718197;0.00633371;0.004762622;0.02937285
0;0;0;0;0;0.008624673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016030431;0.007982757;0.007459725;0.007094286;0.004762622;0.02937285
0;0;0;0;0;0.010164793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016030431;0.008781033;0.007697802;0.00714431;0.004762622;0.02937285
0;0;0;0;0;0.010164793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.018339899;0.009579309;0.008689787;0.007158603;0.004762622;0.033959601
0;0;0;0;0;0.012551979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.019834262;0.010776722;0.010792794;0.007544506;0.004762622;0.035018082
0;0;0.136363636;0;0;0.025951024;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.027849477;0.017961204;0.015236886;0.020098605;0.004762622;0.056099497
0;0;0.136363636;0;0;0.027645156;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.027849477;0.01875948;0.017141497;0.020618247;0.010594404;0.056099497
0;0;0.136363636;0;0;0.028492222;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.027849477;0.019158617;0.017498611;0.020885725;0.010594404;0.056099497
0;0;0.136363636;0;0;0.045741568;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.033826926;0.040712062;0.029799222;0.023758559;0.010594404;0.064831966
0;0;0.136363636;0;0;0.045741568;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.036679799;0.041510338;0.03384652;0.024067894;0.010594404;0.069154097
0;0;0.147727273;0;0;0.047358694;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.037902459;0.042308613;0.035036902;0.024289431;0.010594404;0.069154097
0;0;0.147727273;0;0;0.04897582;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.039125119;0.043106889;0.036028887;0.024510967;0.010594404;0.069154097
0;0;0.159090909;0;0;0.050592946;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.040347779;0.043905165;0.037219268;0.024732504;0.010594404;0.069154097
0;0;0.159090909;0;0;0.056984445;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.042793099;0.051089646;0.043528291;0.030294408;0.010594404;0.069154097
0;0;0.159090909;0;0;0.056984445;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.042793099;0.053484474;0.044758353;0.030537384;0.010594404;0.069154097
0;0;0.159090909;0;0;0.056984445;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.042793099;0.055879301;0.045988414;0.036054368;0.010594404;0.069154097
0;0;0.159090909;0;0;0.070075466;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.046189376;0.06346292;0.051940322;0.038741397;0.010594404;0.077798359
0;0;0.159090909;0;0;0.070075466;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.046189376;0.065857747;0.051940322;0.039008874;0.010594404;0.077798359
0;0;0.159090909;0;0;0.070075466;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.046189376;0.066256885;0.051940322;0.039435614;0.010594404;0.077798359
0;0;0.159090909;0;0;0.070075466;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.048498845;0.067055161;0.052852948;0.039449906;0.010594404;0.082473317
0;0;0.159090909;0;0;0.070075466;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.050808314;0.067853437;0.053844933;0.039482576;0.010594404;0.087148276
0;0;0.159090909;0;0;0.070075466;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.053253634;0.067853437;0.054836918;0.039482576;0.010594404;0.089618065
0;0;0.159090909;0;0;0.074849838;0;0;0;0;0;0.819148936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.055019698;0.070647402;0.057098643;0.039931775;0.015721513;0.091999647
